Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Sergio Reguilón,DF,Manchester United,4,26,9,4.6,412,0,0,0,0,0,0
Sofyan Amrabat,"MF,DF",Manchester United,10,26,21,10.4,938,0,0,0,0,0,0
Victor Lindelöf,DF,Manchester United,14,29,19,14.8,1328,1,1,2,0,0.14,0.14
Willy Kambwala,DF,Manchester United,3,18,8,3.7,330,0,0,0,0,0,0
Alex Murphy,"DF,FW",Newcastle United,0,19,2,0.1,13,0,0,0,0,0,0
Alexander Isak,FW,Newcastle United,27,23,30,25.1,2255,21,2,23,5,0.92,0.72
Amadou Diallo,MF,Newcastle United,0,20,1,0,1,0,0,0,0,0,0
Anthony Gordon,FW,Newcastle United,34,22,35,32.1,2890,11,10,21,1,0.65,0.62
Ben Parkinson,FW,Newcastle United,0,18,1,0.3,25,0,0,0,0,0,0
Bruno Guimarães,MF,Newcastle United,37,25,37,36.3,3263,7,8,15,0,0.41,0.41
Callum Wilson,FW,Newcastle United,9,31,20,11,991,9,1,10,2,0.91,0.73
Dan Burn,DF,Newcastle United,32,31,33,30.3,2726,2,2,4,0,0.13,0.13
Elliot Anderson,"MF,FW",Newcastle United,10,20,21,11.4,1027,0,2,2,0,0.18,0.18
Emil Krafth,DF,Newcastle United,8,28,17,10.1,913,0,0,0,0,0,0
Fabian Schär,DF,Newcastle United,35,31,36,33.9,3054,4,1,5,0,0.15,0.15
Harvey Barnes,"FW,MF",Newcastle United,7,25,21,8.9,802,5,3,8,0,0.9,0.9
Jacob Murphy,"FW,DF",Newcastle United,14,28,21,13.2,1189,3,7,10,0,0.76,0.76
Jamaal Lascelles,DF,Newcastle United,13,29,16,12,1080,1,0,1,0,0.08,0.08
Joe White,MF,Newcastle United,0,20,4,0.1,13,0,0,0,0,0,0
Joe Willock,MF,Newcastle United,5,23,9,4.7,419,1,0,1,0,0.21,0.21
Joelinton,"MF,FW",Newcastle United,15,26,20,14.2,1279,2,1,3,0,0.21,0.21
Kieran Trippier,DF,Newcastle United,26,32,28,24.8,2236,1,10,11,0,0.44,0.44
Lewis Hall,DF,Newcastle United,8,18,18,8.7,781,1,0,1,0,0.12,0.12
Lewis Miley,MF,Newcastle United,14,17,17,13.4,1202,1,3,4,0,0.3,0.3
Loris Karius,GK,Newcastle United,1,30,1,1,90,0,0,0,0,0,0
Martin Dúbravka,GK,Newcastle United,22,34,23,22.1,1985,0,0,0,0,0,0
Matt Ritchie,"FW,MF",Newcastle United,0,33,13,1.4,128,1,0,1,0,0.7,0.7
Matt Targett,DF,Newcastle United,1,27,3,0.9,78,0,0,0,0,0,0
Michael Ndiweni,FW,Newcastle United,0,19,1,0,1,0,0,0,0,0,0
Miguel Almirón,FW,Newcastle United,23,29,33,21.5,1937,3,1,4,0,0.19,0.19
Nick Pope,GK,Newcastle United,15,31,15,14.9,1345,0,0,0,0,0,0
Paul Dummett,DF,Newcastle United,0,31,5,0.2,20,0,0,0,0,0,0
Sandro Tonali,MF,Newcastle United,5,23,8,4.9,438,1,0,1,0,0.21,0.21
Sean Longstaff,MF,Newcastle United,30,25,35,30.5,2747,6,2,8,0,0.26,0.26
Sven Botman,DF,Newcastle United,15,23,17,15.3,1377,2,2,4,0,0.26,0.26
Valentino Livramento,DF,Newcastle United,12,20,26,14.6,1314,1,0,1,0,0.07,0.07
Andrew Omobamidele,DF,Nottingham Forest,8,21,11,8.7,783,0,0,0,0,0,0
Andrey Santos,MF,Nottingham Forest,0,19,1,0.1,8,0,0,0,0,0,0
Anthony Elanga,"FW,MF",Nottingham Forest,25,21,36,27,2433,5,9,14,0,0.52,0.52
Brandon Aguilera,FW,Nottingham Forest,0,20,1,0.1,5,0,0,0,0,0,0
Brennan Johnson,"FW,MF",Nottingham Forest,3,22,3,2.6,237,0,0,0,0,0,0
Callum Hudson-Odoi,"FW,MF",Nottingham Forest,20,22,29,20.6,1854,8,1,9,0,0.44,0.44
Cheikhou Kouyaté,MF,Nottingham Forest,2,33,12,2.4,212,0,0,0,0,0,0
Chris Wood,FW,Nottingham Forest,20,31,31,20.1,1812,14,1,15,0,0.75,0.75
Danilo,MF,Nottingham Forest,20,22,29,19.9,1792,2,2,4,0,0.2,0.2
Divock Origi,FW,Nottingham Forest,6,28,20,6.7,606,0,1,1,0,0.15,0.15
Felipe,DF,Nottingham Forest,4,34,7,4.2,375,0,0,0,0,0,0
Gio Reyna,"FW,MF",Nottingham Forest,2,20,9,2.6,235,0,1,1,0,0.38,0.38
Gonzalo Montiel,DF,Nottingham Forest,8,26,14,8.9,801,0,2,2,0,0.22,0.22
Harry Toffolo,DF,Nottingham Forest,15,27,23,16.2,1459,1,3,4,0,0.25,0.25
Ibrahim Sangaré,MF,Nottingham Forest,13,25,17,11.5,1035,0,0,0,0,0,0
Joe Worrall,DF,Nottingham Forest,5,26,7,4.9,439,0,0,0,0,0,0
Matt Turner,GK,Nottingham Forest,17,29,17,17,1530,0,0,0,0,0,0
Matz Sels,GK,Nottingham Forest,16,31,16,16,1440,0,0,0,0,0,0
Morgan Gibbs-White,"MF,FW",Nottingham Forest,35,23,37,35.1,3156,5,10,15,1,0.43,0.4
Moussa Niakhate,DF,Nottingham Forest,15,27,21,16.2,1460,1,0,1,0,0.06,0.06
Murillo,DF,Nottingham Forest,32,21,32,31,2789,0,2,2,0,0.06,0.06
Neco Williams,DF,Nottingham Forest,18,22,26,18.2,1637,0,1,1,0,0.05,0.05
Nicolás Domínguez,"MF,FW",Nottingham Forest,19,25,26,16.6,1495,2,2,4,0,0.24,0.24
Nuno Tavares,DF,Nottingham Forest,5,23,8,5.1,457,0,0,0,0,0,0
Odisseas Vlachodimos,GK,Nottingham Forest,5,29,5,5,450,0,0,0,0,0,0
Ola Aina,DF,Nottingham Forest,20,26,22,18.8,1692,1,1,2,0,0.11,0.11
Orel Mangala,MF,Nottingham Forest,19,25,20,17.4,1563,1,0,1,0,0.06,0.06
Rodrigo Ribeiro,"MF,FW",Nottingham Forest,0,18,4,0.2,17,0,0,0,0,0,0
Ryan Yates,MF,Nottingham Forest,21,25,35,22.1,1992,1,1,2,0,0.09,0.09
Scott McKenna,DF,Nottingham Forest,5,26,5,4.6,416,0,0,0,0,0,0
Serge Aurier,"DF,MF",Nottingham Forest,10,30,12,9.3,833,0,2,2,0,0.22,0.22
Taiwo Awoniyi,FW,Nottingham Forest,12,25,20,11.6,1042,6,3,9,0,0.78,0.78
Willy Boly,DF,Nottingham Forest,18,32,20,16,1438,2,1,3,0,0.19,0.19
Andre Brooks,"MF,DF",Sheffield United,12,19,20,10.4,938,0,0,0,0,0,0
Anel Ahmedhodžić,DF,Sheffield United,29,24,31,29.4,2649,2,0,2,0,0.07,0.07
Anis Ben Slimane,MF,Sheffield United,4,22,15,4.7,419,0,0,0,0,0,0
Antwoine Hackford,FW,Sheffield United,0,19,2,0.1,13,0,0,0,0,0,0
Auston Trusty,DF,Sheffield United,28,24,32,28.6,2572,0,0,0,0,0,0
Ben Brereton,"FW,MF",Sheffield United,14,24,14,12.3,1105,6,1,7,1,0.57,0.49
Ben Osborn,"DF,MF",Sheffield United,14,28,24,15.2,1367,0,2,2,0,0.13,0.13
Bénie Adama Traore,"FW,MF",Sheffield United,3,20,8,4.3,387,0,0,0,0,0,0
Cameron Archer,"FW,MF",Sheffield United,21,22,29,20.4,1832,4,1,5,0,0.25,0.25
Chris Basham,"DF,MF",Sheffield United,3,35,8,3.6,321,0,0,0,0,0,0
Daniel Jebbison,FW,Sheffield United,0,19,1,0.2,21,0,0,0,0,0,0
George Baldock,DF,Sheffield United,11,30,13,10.8,969,0,1,1,0,0.09,0.09
Gustavo Hamer,MF,Sheffield United,34,26,36,32.3,2910,4,6,10,0,0.31,0.31
Ivo Grbić,GK,Sheffield United,9,27,9,8.6,771,0,0,0,0,0,0
Jack Robinson,DF,Sheffield United,31,29,34,32.1,2885,1,1,2,0,0.06,0.06
James Mcatee,"MF,FW",Sheffield United,20,20,30,20.2,1822,3,3,6,1,0.3,0.25
Jayden Bogle,DF,Sheffield United,32,23,34,31,2788,3,0,3,0,0.1,0.1
John Egan,DF,Sheffield United,6,30,6,5.4,482,0,0,0,0,0,0
John Fleck,"MF,DF",Sheffield United,1,31,4,1,92,0,0,0,0,0,0
Luke Thomas,DF,Sheffield United,11,22,12,10.2,917,0,0,0,0,0,0
Mason Holgate,DF,Sheffield United,9,26,10,7.9,710,0,0,0,0,0,0
Max Lowe,"DF,MF",Sheffield United,4,26,10,5.6,503,0,0,0,0,0,0
Oliver Arblaster,MF,Sheffield United,11,19,12,10.5,943,0,0,0,0,0,0
Oliver McBurnie,FW,Sheffield United,15,27,21,14.2,1280,6,3,9,2,0.63,0.49
Oliver Norwood,MF,Sheffield United,16,32,27,16,1440,1,0,1,1,0.06,0
Rhian Brewster,"FW,MF",Sheffield United,3,23,13,3.8,346,0,0,0,0,0,0
Rhys Norrington-Davies,DF,Sheffield United,2,24,5,1.2,110,0,0,0,0,0,0
Ryan One,FW,Sheffield United,0,17,1,0.1,8,0,0,0,0,0,0
Sam Curtis,DF,Sheffield United,0,17,1,0.3,28,0,0,0,0,0,0
Sydie Peck,MF,Sheffield United,0,18,1,0.1,10,0,0,0,0,0,0
Tom Davies,MF,Sheffield United,2,25,9,2.5,221,0,0,0,0,0,0
Vinicius Souza,MF,Sheffield United,29,24,36,29.6,2668,1,0,1,0,0.03,0.03
Wes Foderingham,GK,Sheffield United,29,32,30,29.4,2649,0,0,0,0,0,0
William Osula,FW,Sheffield United,9,19,21,8.7,786,0,0,0,0,0,0
Yasser Larouci,DF,Sheffield United,6,22,11,5.9,531,0,0,0,0,0,0
Alejo Véliz,FW,Tottenham Hotspur,0,19,8,0.6,50,1,0,1,0,1.8,1.8
Ben Davies,DF,Tottenham Hotspur,12,30,17,12.1,1090,1,0,1,0,0.08,0.08
Brennan Johnson,FW,Tottenham Hotspur,23,22,32,23.2,2085,5,10,15,0,0.65,0.65
Bryan Gil,"FW,MF",Tottenham Hotspur,2,22,11,2.3,209,0,0,0,0,0,0
Cristian Romero,DF,Tottenham Hotspur,33,25,33,31,2790,5,0,5,0,0.16,0.16
Dane Scarlett,FW,Tottenham Hotspur,0,19,4,0.2,22,0,0,0,0,0,0
Davinson Sánchez,DF,Tottenham Hotspur,0,27,1,0.9,77,0,0,0,0,0,0
Dejan Kulusevski,"FW,MF",Tottenham Hotspur,31,23,36,30.7,2762,8,3,11,0,0.36,0.36
Destiny Udogie,DF,Tottenham Hotspur,28,20,28,26.6,2391,2,3,5,0,0.19,0.19
Emerson,DF,Tottenham Hotspur,11,24,22,12.9,1161,1,0,1,0,0.08,0.08
Eric Dier,DF,Tottenham Hotspur,1,29,4,2.2,201,0,0,0,0,0,0
Giovani Lo Celso,MF,Tottenham Hotspur,4,27,22,5.6,506,2,2,4,0,0.71,0.71
Guglielmo Vicario,GK,Tottenham Hotspur,38,26,38,38,3420,0,0,0,0,0,0
Ivan Perišić,FW,Tottenham Hotspur,0,34,5,1.1,103,0,1,1,0,0.87,0.87
James Maddison,MF,Tottenham Hotspur,26,26,28,23.7,2135,4,9,13,0,0.55,0.55
Jamie Donley,FW,Tottenham Hotspur,0,18,3,0,3,0,0,0,0,0,0
Manor Solomon,FW,Tottenham Hotspur,2,24,5,2.2,199,0,2,2,0,0.9,0.9
Micky van de Ven,DF,Tottenham Hotspur,27,22,27,26,2339,3,0,3,0,0.12,0.12
Mikey Moore,MF,Tottenham Hotspur,0,15,2,0,4,0,0,0,0,0,0
Oliver Skipp,"MF,DF",Tottenham Hotspur,5,22,21,7.9,707,0,0,0,0,0,0
Pape Matar Sarr,MF,Tottenham Hotspur,27,20,34,23,2069,3,3,6,0,0.26,0.26
Pedro Porro,DF,Tottenham Hotspur,35,23,35,34.3,3089,3,7,10,0,0.29,0.29
Pierre Højbjerg,MF,Tottenham Hotspur,8,27,36,14.6,1311,0,0,0,0,0,0
Radu Drăgușin,DF,Tottenham Hotspur,4,21,9,4.8,429,0,0,0,0,0,0
Richarlison,FW,Tottenham Hotspur,18,26,28,16.6,1491,11,4,15,0,0.91,0.91
Rodrigo Bentancur,MF,Tottenham Hotspur,13,26,23,11.2,1005,1,1,2,0,0.18,0.18
Son Heung-min,FW,Tottenham Hotspur,34,31,35,32.6,2934,17,10,27,2,0.83,0.77
Timo Werner,FW,Tottenham Hotspur,10,27,13,9,809,2,3,5,0,0.56,0.56
Yves Bissouma,MF,Tottenham Hotspur,26,26,28,23,2068,0,0,0,0,0,0
Aaron Cresswell,"DF,FW",West Ham United,4,33,11,4.8,436,0,0,0,0,0,0
Alphonse Areola,GK,West Ham United,31,30,31,30,2699,0,0,0,0,0,0
Angelo Ogbonna,DF,West Ham United,7,35,11,7.1,635,0,0,0,0,0,0
Ben Johnson,"DF,FW",West Ham United,4,23,14,6,544,0,0,0,0,0,0
Danny Ings,FW,West Ham United,3,31,20,4.5,404,1,0,1,0,0.22,0.22
Divin Mubama,FW,West Ham United,0,18,5,0.9,80,0,0,0,0,0,0
Edson Álvarez,MF,West Ham United,28,25,31,26.4,2377,1,1,2,0,0.08,0.08
Emerson Palmieri,DF,West Ham United,35,28,36,34.9,3137,1,2,3,0,0.09,0.09
George Earthy,FW,West Ham United,0,18,3,0.4,34,1,0,1,0,2.65,2.65
James Ward-Prowse,MF,West Ham United,34,28,37,33.3,3001,7,7,14,2,0.42,0.36
Jarrod Bowen,FW,West Ham United,34,26,34,33.5,3019,16,6,22,0,0.66,0.66
Kaelan Casey,DF,West Ham United,0,18,1,0,1,0,0,0,0,0,0
Kalvin Phillips,MF,West Ham United,3,27,8,3.4,309,0,0,0,0,0,0
Konstantinos Mavropanos,DF,West Ham United,16,25,19,16.7,1500,1,0,1,0,0.06,0.06
Kurt Zouma,DF,West Ham United,32,28,33,31.5,2838,3,0,3,0,0.1,0.1
Lucas Paquetá,"FW,MF",West Ham United,31,25,31,29.1,2622,4,6,10,2,0.34,0.27
Łukasz Fabiański,GK,West Ham United,7,38,10,8,721,0,0,0,0,0,0
Maxwel Cornet,"MF,FW",West Ham United,1,26,7,1.2,112,1,0,1,0,0.8,0.8
Michail Antonio,FW,West Ham United,21,33,26,18.8,1695,6,2,8,0,0.42,0.42
Mohammed Kudus,"FW,MF",West Ham United,27,22,33,27.6,2484,8,6,14,0,0.51,0.51
Nayef Aguerd,DF,West Ham United,21,27,21,20.6,1857,1,0,1,0,0.05,0.05
Pablo Fornals,"MF,FW",West Ham United,4,27,15,4.7,426,0,0,0,0,0,0
Saïd Benrahma,"FW,MF",West Ham United,5,27,13,6.9,620,0,1,1,0,0.15,0.15
Thilo Kehrer,"DF,MF",West Ham United,0,26,4,0.2,22,0,0,0,0,0,0
Tomáš Souček,MF,West Ham United,34,28,37,31.9,2870,7,2,9,0,0.28,0.28
Vladimír Coufal,DF,West Ham United,36,30,36,34.8,3132,0,7,7,0,0.2,0.2
Boubacar Traoré,MF,Wolverhampton,7,21,24,9.1,819,0,0,0,0,0,0
Craig Dawson,DF,Wolverhampton,25,33,25,24.5,2209,1,1,2,0,0.08,0.08
Daniel Bentley,GK,Wolverhampton,3,30,5,4.3,383,0,0,0,0,0,0
Enso Gonzalez,"MF,DF",Wolverhampton,0,18,1,0,1,0,0,0,0,0,0
Fábio Silva,FW,Wolverhampton,3,21,8,2.9,264,0,0,0,0,0,0
Hugo Bueno,"DF,MF",Wolverhampton,7,20,22,8.2,741,0,0,0,0,0,0
Hwang Hee-chan,"FW,MF",Wolverhampton,25,27,29,23.5,2119,12,3,15,1,0.64,0.59
Jean-Ricner Bellegarde,"MF,FW",Wolverhampton,10,25,22,10.6,958,2,1,3,0,0.28,0.28
João Gomes,MF,Wolverhampton,32,22,34,29.4,2649,2,1,3,0,0.1,0.1
Jonny Castro,MF,Wolverhampton,0,29,1,0.1,5,0,0,0,0,0,0
José Sá,GK,Wolverhampton,35,30,35,33.7,3037,0,1,1,0,0.03,0.03
Leon Chiwome,FW,Wolverhampton,2,17,3,1.9,174,0,0,0,0,0,0
Mario Lemina,MF,Wolverhampton,34,29,35,33,2968,4,1,5,0,0.15,0.15
Matheus Cunha,"FW,MF",Wolverhampton,29,24,32,27.1,2440,12,7,19,1,0.7,0.66
Matheus Nunes,MF,Wolverhampton,2,24,2,2,179,0,0,0,0,0,0
Matt Doherty,"DF,MF",Wolverhampton,9,31,30,12.8,1150,1,0,1,0,0.08,0.08
Max Kilman,DF,Wolverhampton,38,26,38,38,3420,2,0,2,0,0.05,0.05
Nathan Fraser,FW,Wolverhampton,1,18,7,2.1,186,0,0,0,0,0,0
Nélson Semedo,"DF,MF",Wolverhampton,36,29,36,34.3,3084,0,1,1,0,0.03,0.03
Pablo Sarabia,"MF,FW",Wolverhampton,20,31,30,19.4,1745,4,7,11,2,0.57,0.46
Pedro Neto,"FW,MF",Wolverhampton,18,23,20,16.8,1516,2,9,11,0,0.65,0.65
Rayan Aït-Nouri,"DF,MF",Wolverhampton,29,22,33,25.9,2329,2,1,3,0,0.12,0.12
Santiago Bueno,DF,Wolverhampton,9,24,12,9.1,822,0,0,0,0,0,0
Sasa Kalajdzic,FW,Wolverhampton,1,26,11,1.8,166,2,0,2,0,1.08,1.08
Tawanda Chirewa,"MF,FW",Wolverhampton,1,19,8,1.6,145,0,0,0,0,0,0
Tommy Doyle,MF,Wolverhampton,11,21,26,13.6,1222,0,0,0,0,0,0
Toti Gomes,DF,Wolverhampton,31,24,35,30.8,2772,1,3,4,0,0.13,0.13
